ID,GUZERGAH_A,GUZERGAH_K,HAT_ADI,HAT_KODU,DEPAR_NO,DURUM,UZUNLUK,HAT_BASI,HAT_SONU,YON,HAT_ID,SURE,RING_MI,B_NOKTASI,latitude,longitude
4144,HALİT BİN VELİT CAMİİ -  AYRILIKÇEŞMESİ MARMARAY,MR9_G_D2763,ATATÜRK MAH. / ÇAMLIK - AYRILIKÇEŞME,MR9,2763,AKTİF,442965.0,ATATÜRK MAHALLESİ PERONLAR,AYRILIKÇEŞMESİ MARMARAY,GİDİŞ,835,643016.0,EVET,225551,41.02309643674253,29.11038988251737
4460,HAREM PERONLAR 2  -  HATTAT HASAN ÇELEBİ CADDESİ,11C_D_D2307,BURHANİYE MAHALLESİ - ÜSKÜDAR MARMARAY,11C,2307,AKTİF,1050045.0,HATTAT HASAN ÇELEBİ CADDESİ,ÜSKÜDAR MARMARAY,DÖNÜŞ,141,152424.0,HAYIR,0,41.02523838290101,29.03551509662961
386,SULTANBEYLİ PERONLAR - YILDIRAY SOKAK,132A_G_D1704,ÇAMLIK MAHALLESİ - KARTAL,132A,1704,AKTİF,2144431.0,SULTANBEYLİ PERONLAR,KARTAL,GİDİŞ,98,310736.0,HAYIR,0,40.90393031945013,29.24785178405488
3084,10.KISIM -  HARBİYE,71T_G_D7007,ATAKÖY - TAKSİM,71T,7007,AKTİF,383731.00000000006,ATAKÖY 9.-10.KISIM,HARBİYE ASKERİ MÜZE,GİDİŞ,244,555129.0,EVET,117321,41.00885692368446,28.91411633068224
24229,İSTİNYE DEREİÇİ -  ŞİŞLİ,29Ş_G_D5901,İSTİNYE DEREİÇİ - ŞİŞLİ,29Ş,5901,AKTİF,2906764.0,İSTİNYE DEREİÇİ,ŞİŞLİ,GİDİŞ,396,421952.0,EVET,117281,41.09738345978285,29.022616221917765
55654,BAYRAKTAR BULVARI  -  ŞAHİNKAYA GARAJI,15SD_D_D4480,ORTAÇEŞME/SULTANİYE-DUDULLU İMES,15SD,4480,AKTİF,2738878.0,ÇİFTEÇINARLAR,BAYRAKTAR BULVARI,DÖNÜŞ,2251,39758.0,HAYIR,0,41.07254539841709,29.11356651894112
24314,YUNUS EMRE MAHALLESİ  -  FENERTEPE PERONLAR,78C_G_D6268,YUNUS EMRE MAHALLESİ - FENERTEPE,78C,6268,AKTİF,2920775.0,YUNUS EMRE MAHALLESİ,FENERTEPE PERONLAR,GİDİŞ,711,42285.0,HAYIR,0,41.09859143120769,28.8321606020165
55655,SULTANBEYLİ DEVLET HASTANESİ   -  SULTANBEYLİ PERONLAR,132M_G_D4482,SULTANBEYLİ MİMARSİNAN - KARTAL METRO / CEVİZLİ,132M,4482,AKTİF,1031073.0,BATTALGAZİ MAHALLESİ,CEVİZLİ PERONLAR,GİDİŞ,185,149672.0,HAYIR,0,40.96127538666823,29.27627477434429
24391,KOZYATAĞI METRO  -  SULTANBEYLİ PERONLAR,14KS_D_D6342,SULTANBEYLİ GÖLET - KOZYATAĞI METRO,14KS,6342,AKTİF,245499.0,SULTANBEYLİ PERONLAR,YÜZBEŞEVLER,DÖNÜŞ,40,356367.00000000006,HAYIR,0,40.97131570346464,29.20297949402045
24392,DENİZ HARP OKULU  -  AYDINLI TOKİ PERONLAR,130T_D_D6343,AYDINLI TOKİ KONUTLARI - TUZLA,130T,6343,AKTİF,1666357.0,AYDINLI TOKİ PERONLAR,DENİZ HARP OKULU,DÖNÜŞ,717,238814.0,HAYIR,0,40.84046195715558,29.30983831716656
3371,TOPKAPI  -  SULTANGAZİ PERONLAR,88_D_D0,SULTANGAZİ PERON - TOPKAPI,88,0,AKTİF,133809.0,SULTANGAZİ PERONLAR,TOPKAPI,DÖNÜŞ,25,194034.0,HAYIR,0,41.067608023422174,28.907031611545428
3461,GÖZTEPE MAHALLESİ  -  AKSARAY RİNG,91E_G_D7787,GÖZTEPE MAHALLESİ - AKSARAY,91E,7787,AKTİF,1157125.0,GÖZTEPE MAHALLESİ,AKSARAY RİNG,GİDİŞ,9,16797.0,HAYIR,0,41.04007593093064,28.893649455082905
55669,TEPEÜSTÜ  -  TÜRK ALMAN ÜNİVERSİTESİ,15TA_D_D4491,TÜRK ALMAN ÜNİVERSİTESİ-KAVACIK,15TA,4491,AKTİF,2750149.0,TÜRK ALMAN ÜNİVERSİTESİ,KAVACIK AKTARMA,DÖNÜŞ,3413,399056.0,HAYIR,0,41.08320940048463,29.095775364203277
813,TEV EZEL GÜLEN KIRAY MTA LİSESİ - KADIKÖY,14A_G_D1840,ALEMDAĞ - KADIKÖY,14A,1840,AKTİF,3146833.0,NİŞANTEPE,KADIKÖY,GİDİŞ,49,456799.00000000006,HAYIR,0,41.00937133648733,29.152135009233326
55321,AHMET CELALETTİN PAŞA CAMİ - BAHÇEKÖY,42T_D_D0,BAHÇEKÖY - BALTALİMANI,42T,0,AKTİF,1664044.0000000002,BAHÇEKÖY,AHMET CELALETTİN PAŞA CAMİ,DÖNÜŞ,313,240843.0,HAYIR,0,41.13785499275951,29.039817201964446
55322,AYAZAĞA  -  4.LEVENT METRO,41A_G_D0,AYAZAĞA - 4. LEVENT METRO,41A,0,AKTİF,664049.0,AYAZAĞA,4.LEVENT METRO,GİDİŞ,846,96395.0,HAYIR,0,41.10352568311554,28.9993592598344
24295,FENERTEPE PERONLAR  -  YUNUS EMRE MAHALLESİ,78C_D_D6259,YUNUS EMRE MAHALLESİ - FENERTEPE,78C,6259,AKTİF,3139245.0,YUNUS EMRE MAHALLESİ,FENERTEPE PERONLAR,DÖNÜŞ,711,455699.00000000006,HAYIR,0,41.096481066170846,28.828138512685584
4217,AKFIRAT  -  KARTAL,133AK_G_D1855,TEPEÖREN - KARTAL,133AK,1855,AKTİF,2751934.0,TEPEÖREN MERKEZ,KARTAL,GİDİŞ,735,374492.0,HAYIR,0,40.88459425766775,29.30334229334618
24474,OLİMPİYATKÖY METRO -  KAYABAŞI KİPTAŞ,MK12_G_D6406,OLİMPİYATKÖY METRO - GÜVERCİNTEPE - KAYAŞEHİR,MK12,6406,AKTİF,1903359.0,OLİMPİYATKÖY METRO,OLİMPİYATKÖY METRO,GİDİŞ,203,276298.0,EVET,100432,41.09283867099912,28.75672500178646
24483,TEPE ÜSTÜ - TEDAŞ ÖNÜ,139T_G_D6409,TEPEÜSTÜ - ŞİLE,139T,6409,AKTİF,5601085.0,TEPE ÜSTÜ,TEDAŞ ÖNÜ,GİDİŞ,728,757161.0,HAYIR,0,41.096596049344505,29.378831184573325
