ID,ADI,DURAK_KODU,DURUMU,DURAK_TIPI,YON_BILGIS,SON_GUNCEL,YAPILIS_TA,ILCEID,MAHALLEID,VERSIYON,CEP_VAR,latitude,longitude
509522,HACI ŞERİF,122751,1,İETTBAYRAK,ŞİRİNEVLER,01.01.1976 00:00:00,02.01.2016 00:00:00,2003,40147,"2,01807E+14",2.0,40.9771060005498,28.7408039999796
509525,LONDRA ASFALTI,122762,1,WALLMODERN,AVCILAR,01.01.1976 00:00:00,02.01.2016 00:00:00,2003,40151,"2,01807E+14",2.0,40.9790230005501,28.7342429999792
509527,İGS,122772,1,CCMODERN,BEYLİKDÜZÜ,01.01.1976 00:00:00,02.01.2016 00:00:00,2003,40149,"2,01807E+14",2.0,40.9887700005516,28.7174989999781
509529,TÜRKSAN,122792,1,IETTCAMLI,BÜYÜKÇEKMECE,03.01.2023 00:00:00,02.01.2016 00:00:00,2003,40149,"2,02301E+14",0.0,40.9953400005526,28.7062169999772
293103,SADRİ ALIŞIK CADDESİ,220441,1,İETTBAYRAK,YENİ MAH.,20.04.2020 00:00:00,02.01.2016 00:00:00,1185,40244,"2,02004E+14",0.0,41.0778560005663,29.0714199999908
293105,NİŞANGAH CADDESİ,220451,1,CCMODERNDR,ÜSKÜDAR,20.04.2020 00:00:00,02.01.2016 00:00:00,1185,40244,"2,02004E+14",0.0,41.075816000566,29.0740379999909
293109,NİŞANTAŞI,220471,1,İETTBAYRAK,YENİ MAH.,01.01.1976 00:00:00,02.01.2016 00:00:00,1185,40245,"2,01807E+14",2.0,41.0723030005654,29.0764739999909
511023,ESENLER,111423,1,İETTBAYRAK,ATIŞALANI-ÜÇYÜZLÜ,06.04.2022 00:00:00,02.01.2016 00:00:00,2016,40347,"2,02204E+14",0.0,41.0438319902423,28.8794809858315
511027,YAVUZ SELİM,111451,1,İETTBAYRAK,TOPKAPI,01.01.1976 00:00:00,02.01.2016 00:00:00,2016,40344,"2,01807E+14",2.0,41.0339130005591,28.8954749999866
511028,YAVUZ SELİM,111452,1,İETTBAYRAK,GİYİMKENT,01.01.1976 00:00:00,02.01.2016 00:00:00,2016,40349,"2,01807E+14",2.0,41.0341219882654,28.8954729871322
511030,TURGUT REİS İLKOKULU,111932,1,İETTBAYRAK,GİYİMKENT,22.02.2024 00:00:00,02.01.2016 00:00:00,2016,40355,"2,02402E+14",0.0,41.0654810005641,28.8641379999854
511032,TEKSTİLKENT-GİYİMKENT METRO İSTASYONU,178321,1,İSTON DAR,GİYİMKENT,03.03.2022 00:00:00,01.01.1976 00:00:00,2016,40355,"2,02203E+14",0.0,41.0702838030511,28.8661394580572
511033,SANTRAL,121921,1,İETTBAYRAK,GÜNGÖREN,01.01.1976 00:00:00,02.01.2016 00:00:00,2016,40340,"2,01807E+14",2.0,41.0175990005565,28.8898939999865
511036,ÇİNÇİNDERE CADDESİ,121992,1,İETTBAYRAK,GİYİMKENT,01.01.1976 00:00:00,02.01.2016 00:00:00,2016,40347,"2,01807E+14",2.0,41.0414770005603,28.8715929999858
511037,ŞEHİT MUHAMMET ALİ AKSU,122001,1,İETTBAYRAK,GİYİMKENT,01.01.1976 00:00:00,02.01.2016 00:00:00,2016,40346,"2,01807E+14",2.0,41.0436210005606,28.8693299999857
511039,ÜÇYÜZLÜ,122011,1,İSTON DAR,DAVUTPAŞA,28.06.2021 00:00:00,02.01.2016 00:00:00,2016,40350,"2,02106E+14",0.0,41.0393230005599,28.8720879999858
511041,FEVZİ ÇAKMAK MAHALLESİ,123713,1,CCMODERN,YÜZYIL KÖPRÜSÜ,24.03.2020 00:00:00,02.01.2016 00:00:00,2016,40350,"2,02003E+14",1.0,41.0424760005603,28.8594849999853
511045,YÜZYIL KÖPRÜSÜ,123752,1,CCMODERN,AKSARAY,01.01.1976 00:00:00,02.01.2016 00:00:00,2004,40174,"2,01807E+14",2.0,41.0540740005622,28.8552309999851
511047,YÜZYIL KÖPRÜSÜ,123754,1,İSTON PERON,İSTOÇ,30.05.2022 00:00:00,02.01.2016 00:00:00,2016,40355,"2,02205E+14",1.0,41.0557380005625,28.8551189999851
511048,YÜZYIL KÖPRÜSÜ,123755,1,CCMODERNDR,BAĞCILAR,01.01.1976 00:00:00,02.01.2016 00:00:00,2016,40355,"2,01807E+14",2.0,41.0554980005625,28.8562909999851
